,id,X_IMAGE,Y_IMAGE,ra,dec,z_use,f_F814W,f_F606W,f_F435W,e_F814W,e_F606W,e_F435W,mag_F814W,band,xl,yl,mag_AB_F814w
9364,20054,4630.109854500119,3507.972416114783,3.5891319999999998,-30.409575,0.3176,63.6719,29.8661,6.198180000000001,0.805002,0.483735,0.185613,20.49013047596848,bcg,138.90329563500356,105.23917248344348,20.49013047596848
9388,20078,4633.273187350643,2280.1358136517815,3.5891019999999996,-30.419807000000002,0.3044,166.399,72.2773,13.7951,0.8879229999999999,0.35777800000000004,0.36688000000000004,19.44712321998984,bcg,138.99819562051928,68.40407440955344,19.44712321998984
8884,8885,4618.1047667998955,8368.654126933743,3.5892457,-30.3690692,0.3002,794.868,403.788,85.8297,1.1946,0.16277,0.107329,17.749262466507723,f814w,138.54314300399685,251.05962380801228,17.749262466507723
9336,20026,4504.85827856447,5744.158392582163,3.5903410000000004,-30.390940000000004,0.2967,92.1305,41.804,8.31988,0.45511,0.315094,0.12821,20.088991429695156,bcg,135.1457483569341,172.32475177746488,20.088991429695156
9350,20040,4511.42548281228,6733.196029667023,3.5902769999999995,-30.382697999999998,0.3016,50.0846,22.1433,4.23292,0.595725,0.307651,0.164574,20.750739475908183,bcg,135.34276448436842,201.99588089001068,20.750739475908183
97,98,4418.931290952912,614.7416580637573,3.5911744,-30.433685200000003,0.285,68.6093,29.4458,5.7594,0.46712700000000007,0.0578253,0.0803232,20.409042529066575,f814w,132.56793872858734,18.44224974191272,20.409042529066575
9269,9270,4299.627703123828,10912.900873531613,3.5923199,-30.3478669,0.3066,157.792,69.4909,13.0153,0.598565,0.0688453,0.07906410000000001,19.50478754787239,f814w,128.98883109371482,327.38702620594836,19.50478754787239
9313,20003,4281.1961511012205,4102.425741116468,3.592503,-30.404621000000002,0.3155,392.18199999999996,176.706,36.2757,1.4571,0.890094,0.557874,18.516280857624608,bcg,128.4358845330366,123.07277223349404,18.516280857624608
9372,20062,4230.120485191345,4737.099443194392,3.592996,-30.399332,0.3099,159.095,77.5021,15.2732,20.4085,6.0784400000000005,1.00919,19.4958586726078,bcg,126.90361455574036,142.11298329583175,19.4958586726078
382,383,4172.190268552696,1531.7944431863707,3.5935584,-30.4260429,0.3118,80.1717,36.1126,6.8427,0.0979259,0.029143900000000004,0.0222577,20.239947268280087,f814w,125.16570805658087,45.95383329559112,20.239947268280087
9324,20014,4101.161786161548,5801.964000862211,3.5942410000000002,-30.390458000000002,0.3164,58.8847,26.4836,5.56114,0.31711999999999996,0.190885,0.0770004,20.57499383301292,bcg,123.03485358484643,174.0589200258663,20.57499383301292
9327,20017,4052.9100732804773,5962.038527541835,3.594707,-30.389124,0.3034,105.101,48.4011,10.3233,1.34379,0.342111,0.232684,19.94598287947231,bcg,121.5873021984143,178.86115582625504,19.94598287947231
9322,20012,4043.727347328353,5657.118410487212,3.594796,-30.391665000000003,0.3121,595.87,273.38599999999997,56.2815,3.0261,1.46525,0.78974,18.06212119813643,bcg,121.31182041985059,169.71355231461635,18.06212119813643
9341,20031,3929.0197507134762,3910.8704400686684,3.595906,-30.406216999999998,0.3181,89.1833,41.2689,8.69122,0.684294,0.399673,0.342264,20.12429115433039,bcg,117.87059252140428,117.32611320206004,20.12429115433039
9149,9150,3755.7268876524604,10177.231840896024,3.597573,-30.353996999999996,0.3069,97.1404,44.5643,8.95523,0.47792700000000005,0.0666594,0.08079299999999999,20.031500281356678,f814w,112.67180662957381,305.3169552268807,20.031500281356678
5829,5830,3611.347775716672,4955.642171953991,3.5989741000000004,-30.397510200000003,0.3164,152.35,66.3284,11.7056,0.08231770000000001,0.07844989999999999,0.0696197,19.542893853603267,f160w,108.34043327150016,148.66926515861974,19.542893853603267
9354,20044,3364.8363768234312,2811.9538799415054,3.6013589999999995,-30.415374,0.3198,81.0362,38.9782,8.32537,0.557084,0.376236,0.294916,20.228302330944604,bcg,100.94509130470293,84.35861639824516,20.228302330944604
8015,8016,3291.8397889069865,7335.029244208204,3.6020573,-30.3776815,0.3011,175.793,90.4062,23.0406,0.36630799999999997,0.09015419999999999,0.0754515,19.387496055833367,f814w,98.7551936672096,220.0508773262461,19.387496055833367
9356,20046,3062.0224629113914,2909.819759553377,3.604285,-30.414558000000003,0.3061,92.388,41.5346,8.31029,1.22573,0.610481,0.209233,20.08596108580859,bcg,91.86067388734173,87.29459278660131,20.08596108580859
9338,20028,3055.394208291936,4641.0538892475115,3.604346,-30.400131,0.319,116.088,50.5257,9.09122,1.35601,0.535813,0.215912,19.838031677249845,bcg,91.66182624875808,139.23161667742534,19.838031677249845
9358,20048,2942.640309695264,6475.346718178078,3.605432,-30.384845000000002,0.3106,113.429,49.456,9.0704,2.24186,1.12745,0.17406300000000002,19.863189741697802,bcg,88.27920929085792,194.26040154534232,19.863189741697802
9344,20034,2959.9819797206433,4559.555472524852,3.605268,-30.400809999999996,0.3194,73.916,32.1726,5.99593,1.48791,0.8342450000000001,0.22079400000000002,20.328153858018673,bcg,88.7994593916193,136.78666417574556,20.328153858018673
8618,8619,2814.5478492006937,8621.766483250078,3.6066652,-30.366957899999996,0.3023,140.589,62.7933,11.803,0.972383,0.0988314,0.11876500000000001,19.6301216454133,f814w,84.4364354760208,258.65299449750233,19.6301216454133
3522,3523,2779.367773150607,4239.39492555564,3.6070137000000004,-30.4034777,0.2966,130.751,99.0826,29.6327,0.0507758,0.0576018,0.0467297,19.708887452273686,f160w,83.3810331945182,127.1818477666692,19.708887452273686
7735,7736,2513.5921585800206,7205.438731918099,3.6095751000000003,-30.3787601,0.3009,70.6224,61.1583,38.1233,0.182175,0.0609798,0.058875199999999996,20.37764381913261,f814w,75.40776475740061,216.16316195754294,20.37764381913261
5817,5818,2401.419153322162,5184.269081867542,3.6106633,-30.395603,0.3033,352.519,280.026,247.44400000000002,0.392011,0.0864903,0.0941073,18.632043676307127,f814w,72.04257459966486,155.52807245602625,18.632043676307127
9374,20064,2221.8692644987004,3545.507691308246,3.612402,-30.409259000000002,0.3031,418.994,190.263,38.3403,3.3937800000000005,1.8552099999999998,1.0345799999999998,18.444480490230735,bcg,66.656077934961,106.36523073924738,18.444480490230735
6204,6205,2140.638445020257,5893.411840622092,3.613181,-30.3896929,0.2697,78.77,35.655,6.86025,0.101562,0.0276703,0.0223169,20.259097886326707,f814w,64.21915335060771,176.80235521866277,20.259097886326707
8470,8471,2107.685974582527,8193.112762075776,3.6134934999999997,-30.370528600000004,0.3095,198.421,88.0094,15.3821,0.7967770000000001,0.0629339,0.06697560000000001,19.256030914861316,f814w,63.2305792374758,245.79338286227326,19.256030914861316
7243,7244,1937.7839258275649,6610.065543446771,3.6151388,-30.383720299999997,0.3061,84.3093,37.1238,6.765619999999999,0.161268,0.034230000000000003,0.028768000000000002,20.185311291317454,f814w,58.13351777482694,198.3019663034031,20.185311291317454
3847,3848,1779.3190014957345,4332.1491353155925,3.616676,-30.4027026,0.2877,65.405,38.7756,10.3725,0.178172,0.049502199999999996,0.0448231,20.46097262500713,f814w,53.37957004487203,129.96447405946776,20.46097262500713
9387,20077,1637.561811498042,4216.018023194633,3.618046,-30.40367,0.3115,93.6363,41.0493,7.97041,1.2036799999999999,0.840756,0.51505,20.071389389011856,bcg,49.12685434494126,126.480540695839,20.071389389011856
6057,6058,1568.7305738743607,5506.700942660472,3.6187072,-30.3929141,0.3015,102.056,74.3559,42.612,0.383042,0.08564169999999999,0.0861631,19.977903643702657,f814w,47.06191721623082,165.20102827981415,19.977903643702657
8251,8252,340.60132889704073,7935.447958193211,3.6305625,-30.3726707,0.3055,248.387,114.191,21.9778,0.9397540000000001,0.0878349,0.0976847,19.012177844668663,f814w,10.218039866911221,238.06343874579633,19.012177844668663
9312,20002,4330.263227185361,3967.190263205118,3.592029,-30.405748,0.3187,1401.24,631.946,133.084,2.91206,1.65937,1.7305,17.133718684360517,bcg,129.90789681556083,119.01570789615353,17.133718684360517
9315,20005,4753.535175159196,4554.25591435324,3.587939,-30.400856,0.3154,394.61699999999996,186.938,54.543,2.49221,1.47955,1.38925,18.509560523462476,bcg,142.60605525477587,136.6276774305972,18.509560523462476
9316,20006,5017.13792411325,5344.46294848248,3.5853919999999997,-30.394271000000003,0.3202,417.085,182.33900000000003,33.0287,0.420418,0.337498,0.32785,18.449438571983173,bcg,150.51413772339748,160.3338884544744,18.449438571983173
9318,20008,5059.573893891368,5512.103409424275,3.584982,-30.392874,0.2963,124.948,60.8066,15.9354,2.3952400000000003,1.29969,1.06101,19.758176727713682,bcg,151.78721681674105,165.36310228272825,19.758176727713682
9323,20013,4138.844026626243,5755.047916631282,3.5938769999999995,-30.390849,0.2972,33.4577,16.2364,4.0926800000000005,0.16566,0.106349,0.15866,21.188759793195025,bcg,124.16532079878729,172.65143749893844,21.188759793195025
9326,20016,5730.251113224554,4251.62134507696,3.578502,-30.403378000000004,0.3157,216.15099999999998,95.9694,19.2978,1.3869200000000002,0.886524,0.328565,19.163106877269183,bcg,171.9075333967366,127.5486403523088,19.163106877269183
9328,20018,3969.8875815439706,6014.709275046332,3.595509,-30.388685,0.3043,54.7265,25.2205,5.44034,0.49387299999999995,0.221608,0.19219,20.65450581502159,bcg,119.09662744631912,180.44127825138995,20.65450581502159
9330,20020,4622.02584222283,5874.965352734109,3.589209,-30.38985,0.314,160.34,70.5672,13.52,0.49944799999999995,0.41458900000000004,0.20481,19.487395301846576,bcg,138.66077526668488,176.24896058202324,19.487395301846576
9331,20021,4587.450569777018,5920.8031810407765,3.589543,-30.389468,0.2966,48.5642,23.2008,5.30696,0.187356,0.178564,0.134381,20.784209402548882,bcg,137.62351709331054,177.62409543122328,20.784209402548882
9333,20023,5692.920620097419,5002.940565723786,3.5788629999999997,-30.397116999999998,0.319,77.9407,34.9252,6.92762,0.6319130000000001,0.31798699999999996,0.187559,20.270589245114667,bcg,170.78761860292255,150.08821697171356,20.270589245114667
9340,20030,5004.205140681932,4996.703615466087,3.585517,-30.397169,0.3135,389.756,188.139,52.6106,3.6066300000000004,2.1875299999999998,2.64164,18.52301797612821,bcg,150.12615422045795,149.9011084639826,18.52301797612821
9342,20032,4362.260649784991,3719.993533728798,3.5917199999999996,-30.407808000000003,0.3191,68.9286,31.0848,6.33694,0.968226,0.5406770000000001,0.20351,20.40400135579011,bcg,130.86781949354972,111.59980601186393,20.40400135579011
9343,20033,3727.092387665062,3989.80490908908,3.597857,-30.405559000000004,0.3206,52.148,25.2204,6.04924,0.379361,0.22431900000000002,0.162418,20.70690585786447,bcg,111.81277162995185,119.6941472726724,20.70690585786447
9345,20035,3419.208128172305,5268.596093262394,3.60083,-30.394902000000002,0.3086,35.2638,16.5655,3.7717,0.52389,0.324781,0.163418,21.131677225688062,bcg,102.57624384516915,158.0578827978718,21.131677225688062
9346,20036,5163.084324094306,4745.187214836522,3.583982,-30.399265000000003,0.3202,137.091,75.1626,22.9303,1.6128200000000001,1.01295,0.9646,19.657477639077193,bcg,154.89252972282918,142.35561644509565,19.657477639077193
9347,20037,4276.461277117625,6419.138823683868,3.592547,-30.385315000000002,0.317,64.0483,28.1802,5.32775,0.579285,0.304297,0.10608900000000002,20.483730982535057,bcg,128.29383831352877,192.57416471051604,20.483730982535057
9348,20038,5190.615463251064,6495.022536024473,3.5837160000000003,-30.384683000000003,0.3092,74.345,39.3513,10.0994,0.320472,0.255804,0.185745,20.32187058552245,bcg,155.71846389753193,194.8506760807342,20.32187058552245
9351,20041,4743.308025116223,6749.529224455407,3.5880370000000004,-30.382562,0.3123,41.2942,19.0554,4.21702,0.389098,0.342826,0.34344600000000003,20.96027735783745,bcg,142.29924075348669,202.4858767336622,20.96027735783745
9353,20043,4662.922674523986,3369.974609381375,3.5888150000000003,-30.410725,0.3259,55.8863,24.7148,4.99961,0.247252,0.135464,0.10406199999999999,20.631736605669246,bcg,139.88768023571956,101.09923828144125,20.631736605669246
9355,20045,3231.2696918825372,2620.6515710033896,3.60265,-30.416968,0.3135,101.318,45.2138,9.32779,0.448363,0.27053,0.22736900000000002,19.98578347923927,bcg,96.93809075647611,78.61954713010168,19.98578347923927
9357,20047,2517.3175829990896,6803.332710485817,3.60954,-30.382111,0.2589,284.421,135.312,26.8845,4.69573,5.00214,3.6406699999999996,18.865095852420545,bcg,75.51952748997269,204.0999813145745,18.865095852420545
9362,20052,5829.457816413221,7193.1689555897965,3.5775449999999998,-30.378865,0.2751,17.5775,8.62387,2.23546,0.157303,0.115248,0.08841389999999999,21.88760723348152,bcg,174.88373449239663,215.7950686676939,21.88760723348152
9363,20053,3980.860858947633,7007.467714517014,3.5954019999999995,-30.380412,0.2952,80.3056,40.3932,9.66343,0.6040300000000001,0.34873699999999996,0.143875,20.238135421850032,bcg,119.42582576842898,210.22403143551043,20.238135421850032
9365,20055,4984.368249222954,2979.268637621011,3.5857089999999996,-30.413981,0.3027,30.9458,15.6232,4.02294,0.18803,0.133475,0.10228999999999999,21.27349571399242,bcg,149.5310474766886,89.37805912863033,21.27349571399242
9366,20056,3632.631832130711,6094.466025007053,3.5987669999999996,-30.38802,0.3043,58.8284,27.0889,5.62584,0.890648,0.44561999999999996,0.20735599999999998,20.576032408209542,bcg,108.97895496392132,182.83398075021157,20.576032408209542
9367,20057,4212.952598600412,5815.414832876221,3.5931610000000003,-30.390346,0.3015,24.0268,12.887,3.8938699999999997,0.249349,0.170676,0.148116,21.54826016671519,bcg,126.38857795801235,174.46244498628664,21.54826016671519
9368,20058,3892.0436210059115,6034.860148343404,3.596261,-30.388516999999997,0.2968,19.243,10.1316,3.14474,0.198939,0.140451,0.141488,21.789318050355686,bcg,116.76130863017734,181.04580445030211,21.789318050355686
9370,20060,6987.9183360857405,6065.542303884358,3.566353,-30.388261,0.2817,192.95,87.9289,17.0343,6.60585,3.46602,0.903857,19.28638804273146,bcg,209.6375500825722,181.96626911653075,19.28638804273146
9373,20063,5431.270290172677,5384.785405169305,3.5813910000000004,-30.393935,0.3003,66.3003,29.5477,5.80973,0.8767360000000001,0.522042,0.169326,20.446211266165676,bcg,162.9381087051803,161.54356215507914,20.446211266165676
9375,20065,5256.213590475809,631.118480952754,3.583082,-30.433549,0.2927,317.26099999999997,145.39600000000002,30.0719,1.8952,1.0648799999999998,0.648886,18.746458278036002,bcg,157.68640771427425,18.93355442858262,18.746458278036002
