,id,ra,dec,f_F435W,e_F435W,f_F606W,e_F606W,f_F814W,e_F814W,f_F160W,e_F160W,z_use,X_IMAGE,Y_IMAGE,band,mag_F814w
7382,20001,64.038099,-24.0675,88.216,3.27175,469.676,3.22325,1175.88,4.21734,3171.52,4.91411,0.4003,4553.215557854771,5541.166268863182,bcg,17.324092490711255
7383,20002,64.03196899999999,-24.077423,69.1063,3.61915,440.335,3.1459200000000003,1083.93,3.7969800000000005,2824.5,4.7668,0.3962,5224.823296895519,4350.396463974866,bcg,17.412496908874488
7384,20003,64.029674,-24.083431,24.7476,2.28768,209.23,1.84645,492.855,2.37836,1279.09,2.71367,0.3975,5476.224092128242,3629.4252410407753,bcg,18.268202082954915
7386,20005,64.040104,-24.065921,22.2566,0.639175,121.178,3.40374,293.42400000000004,5.939030000000001,760.19,12.1851,0.394,4333.527885926448,5730.643117003419,bcg,18.83126091708658
7387,20006,64.03471,-24.071602,11.2146,1.0610899999999999,85.5633,1.12305,210.834,1.73842,557.95,3.7599,0.4011,4924.532781240781,5048.924470351677,bcg,19.190148379026986
7388,20007,64.044864,-24.073535,19.2877,0.42435500000000004,106.71799999999999,0.9337620000000001,264.356,1.60671,677.055,2.6529,0.4029,3812.0289723012324,4816.943056103883,bcg,18.944527070274845
7390,20009,64.04854499999999,-24.065726,11.8264,0.32753000000000004,62.8068,0.348358,154.813,0.445309,398.18199999999996,0.93706,0.4053,3408.652113055158,5753.995452574463,bcg,19.525481433564153
7391,20010,64.048713,-24.065112,8.01716,0.212263,43.0982,0.33262600000000003,104.914,0.584331,276.70099999999996,0.9822120000000001,0.3901,3390.2383536001926,5827.6739428908495,bcg,19.947916386354645
7392,20011,64.048704,-24.064564,5.55921,0.180328,24.9598,0.21940500000000002,58.4009,0.24500100000000002,142.67600000000002,0.26829400000000003,0.4008,3391.219042236215,5893.434027306383,bcg,20.583951150111897
7393,20012,64.036866,-24.080679999999997,13.4586,0.5194439999999999,83.4364,1.31775,209.63400000000001,3.3288,543.34,5.18195,0.4033,4688.310304988885,3959.5666455668684,bcg,19.19634569717296
7394,20013,64.039456,-24.069339000000003,7.45175,0.304396,44.6339,0.756826,113.184,1.48444,296.83,1.20775,0.4078,4404.53567425394,5320.484473213564,bcg,19.865537404663357
7395,20014,64.042507,-24.069242000000003,8.090819999999999,0.211973,50.0416,0.450747,126.291,0.985016,333.519,3.68335,0.3992,4070.248419373969,5332.115197601501,bcg,19.74656899474403
7396,20015,64.034726,-24.069801000000002,8.55965,1.57612,59.0289,1.50529,137.529,2.3605,346.528,2.28829,0.4022,4922.783378483004,5265.044501030676,bcg,19.654014287093197
7397,20016,64.032675,-24.070151,6.690519999999999,0.993398,43.0573,0.8204889999999999,93.9743,1.1955,237.271,1.46537,0.3922,5147.50174801192,5223.039089404672,bcg,20.067477251486014
7398,20017,64.031862,-24.072072,2.66105,0.200488,17.6903,0.193656,43.8911,0.314431,112.70200000000001,1.05568,0.4004,5236.570023096601,4992.5160348536265,bcg,20.894058836794855
7399,20018,64.030429,-24.07841,5.3135900000000005,0.190478,28.1066,0.277538,68.3465,0.36049899999999996,178.533,0.461689,0.4044,5393.53916428401,4231.949393790442,bcg,20.41320930148239
7400,20019,64.028309,-24.072275,3.92018,0.118309,23.6113,0.271694,59.1903,0.386085,152.16,1.49174,0.3924,5625.849300201084,4968.136641744017,bcg,20.569373647113178
7401,20020,64.045185,-24.06214,8.142669999999999,0.196322,47.1523,0.678517,118.743,1.3892799999999998,313.865,3.7117400000000003,0.4048,3776.7804647030243,6184.341100651718,bcg,19.813479957436236
7402,20021,64.042528,-24.063243,5.618130000000001,0.18734,35.721,0.39966,92.0314,0.804729,261.2,1.82064,0.4041,4067.9196196106577,6051.995126889004,bcg,20.090159928372426
7403,20022,64.038521,-24.062076,4.774719999999999,0.17343699999999998,24.3063,0.18908,58.063,0.28679299999999996,143.546,1.04863,0.4075,4506.971250831438,6192.0458850259565,bcg,20.590251321976226
7404,20023,64.035736,-24.069681,4.82514,0.362982,24.8376,0.439896,62.5535,0.667358,160.67700000000002,0.9939979999999999,0.3994,4812.121944612049,5279.445960263854,bcg,20.509370964000688
7405,20024,64.03519,-24.068757,6.839230000000001,1.0423200000000001,33.3468,0.738628,76.1345,0.9099889999999999,186.858,0.556231,0.4012,4871.9464836575335,5390.325271301124,bcg,20.29604625017811
7407,20026,64.044813,-24.067079,4.41886,0.136165,22.2526,0.474396,53.1118,0.744448,131.754,0.970208,0.3985,3817.5740363886184,5591.663374561844,bcg,20.68702244938849
7408,20027,64.044117,-24.066546,5.54795,0.166679,26.8554,0.220232,62.973,0.406026,152.55,1.01944,0.3911,3893.8303282882443,5655.627382708445,bcg,20.502114041621336
7409,20028,64.044035,-24.066054,3.0403,0.127113,14.1854,0.159665,33.4302,0.22875,79.4141,0.48213,0.3948,3902.8120391785933,5714.667831411906,bcg,21.189652562957964
7410,20029,64.042851,-24.062220999999997,2.45778,0.14921500000000001,12.3907,0.167233,28.8786,0.244004,69.548,0.32513200000000003,0.3943,4032.52298372761,6174.633720612408,bcg,21.348559661673264
7411,20030,64.041825,-24.062825,1.34414,0.0715701,6.24811,0.0870771,15.0494,0.149767,36.3809,0.180615,0.3946,4144.946702233259,6102.15792100404,bcg,22.056202036202503
7412,20031,64.03407800000001,-24.066737,3.3654599999999997,0.111929,21.8116,0.17565,55.7459,0.310237,153.748,0.8510110000000001,0.4034,4993.789957315694,5632.723150878839,bcg,20.634467671500143
7413,20032,64.034194,-24.067080999999998,0.921952,0.09371789999999999,5.36885,0.116406,12.6969,0.153446,32.6601,0.198081,0.3985,4981.079158574561,5591.443416714597,bcg,22.240755752183812
7414,20033,64.032264,-24.056858,8.44716,0.282881,48.4922,0.599604,118.609,1.0295100000000001,288.998,2.5260599999999998,0.3963,5192.5879486295225,6818.197681590722,bcg,19.814705889106456
7415,20034,64.03627,-24.057128,7.23998,0.245401,45.0944,0.730733,114.62899999999999,2.1665099999999997,305.57599999999996,4.21186,0.3996,4753.622415232328,6785.806474241184,bcg,19.85176374067956
7416,20035,64.037806,-24.055585999999998,6.0961,0.173754,34.7361,0.524979,85.2729,1.1108799999999999,211.33599999999998,2.15617,0.3932,4585.311590406111,6970.846547386838,bcg,20.17297241769769
7417,20036,64.042762,-24.073038,3.3949800000000003,0.12629400000000002,21.5264,0.22033000000000003,55.0811,0.30506700000000003,141.593,1.17524,0.4067,4042.3274063806593,4876.594090244673,bcg,20.64749348806938
7418,20037,64.01679,-24.072104,6.96869,0.21321500000000002,41.9088,0.314634,106.654,0.418475,287.783,1.9339400000000002,0.397,6887.917730961181,4988.526061307155,bcg,19.9300571298296
7420,20039,64.03823,-24.071766,5.026680000000001,0.179041,32.5507,0.37506300000000004,82.7147,0.832155,220.391,1.7256599999999997,0.3956,4538.8663449966,5029.246154196588,bcg,20.206043252673688
7421,20040,64.043317,-24.089272,6.1397699999999995,0.349964,43.2244,0.406955,108.62700000000001,0.61031,278.692,1.93068,0.4009,3981.606318038902,2928.511465887932,bcg,19.910155536002204
7422,20041,64.044952,-24.0442,9.04533,0.348543,55.6865,0.456333,140.112,0.617661,-99.0,-99.0,0.3964,3802.1902431488766,8337.142884782352,bcg,19.633811669090996
7423,20042,64.050943,-24.045638,6.48669,0.176058,36.4176,0.22500100000000003,87.812,0.246008,-99.0,-99.0,0.3865,3145.6668311915228,8164.532112512282,bcg,20.141115328182522
7424,20043,64.055651,-24.060282,5.817159999999999,0.179507,32.2954,0.23620700000000003,78.1595,0.316181,194.765,0.23412,0.4049,2629.9655956332062,6407.192300068037,bcg,20.267545568845506
7425,20044,64.054221,-24.084732000000002,14.5011,0.511162,93.2599,1.04112,235.78799999999998,2.32252,-99.0,-99.0,0.4059,2787.0144820915266,3473.2120689197527,bcg,19.0686957532592
7426,20045,64.022018,-24.089026999999998,11.9131,0.34037,73.5429,0.521096,184.196,0.7068979999999999,490.86699999999996,0.47947399999999996,0.3944,6314.899564859588,2957.838069687593,bcg,19.33679951293736
7427,20046,64.022672,-24.089825,5.36773,0.220573,30.0632,0.378162,73.0149,0.538729,183.59400000000002,1.7484400000000002,0.4063,6243.244371544229,2862.0855833970463,bcg,20.3414712631415
7428,20047,64.017061,-24.089572,6.43434,0.395931,42.9418,1.12301,112.251,2.92804,-99.0,-99.0,0.3956,6857.927086867077,2892.3701960070407,bcg,19.87452445337179
7430,20049,64.014776,-24.099339,6.09331,0.277419,36.5674,0.35188200000000003,89.3539,0.621458,-99.0,-99.0,0.3952,7108.060481963392,1720.2922519724762,bcg,20.12221621809406
4882,4883,64.0249467,-24.07207,6.11742,0.0285428,41.1098,0.0374453,107.363,0.034642599999999996,299.85,0.126665,0.398,5994.237796861639,4992.709222204577,f160w,19.92286340423515
6959,6960,64.0243223,-24.053027,6.73108,0.049973000000000004,44.1674,0.05593719999999999,114.632,0.358671,295.66900000000004,0.31962399999999996,0.3971,6062.85716120058,7277.863319995851,f814w,19.851735325828237
3593,3594,64.0437975,-24.0786201,5.57376,0.0320382,34.197,0.0375673,88.3299,0.0349912,240.299,0.11082,0.4,3928.9067870790896,4206.73708155283,f160w,20.13473065309014
4399,4400,64.05773789999999,-24.073880199999998,5.16247,0.0276911,28.6454,0.034743800000000005,68.5688,0.031407,165.94099999999997,0.153853,0.3899,2401.5354596006573,4775.376283235784,f160w,20.409683627282256
5081,5082,64.0441929,-24.0687147,3.23654,0.0302383,16.5272,0.032718000000000004,43.1752,0.0307467,164.84099999999998,0.110714,0.408,3885.5272372891495,5395.382958874539,f160w,20.911914104945833
7054,7055,64.0379188,-24.0496923,3.8360800000000004,0.0257048,24.031,0.029935200000000002,61.1674,0.152402,159.631,0.144188,0.3996,4572.9469786630025,7678.090583822176,f814w,20.533699948406095
6584,6585,64.0502182,-24.057204000000002,3.5029,0.025234700000000002,22.1764,0.0302341,57.3684,0.171453,158.334,0.126446,0.4053,3225.224963194025,6776.619479638341,f814w,20.60331815596589
3576,3577,64.0205535,-24.0770162,2.82616,0.022393400000000004,18.1281,0.0242827,48.1881,0.0235826,141.518,0.0806925,0.4022,6475.504419028808,4399.116090993303,f160w,20.792650492702204
3166,3167,64.0293763,-24.079010999999998,2.78192,0.0223353,16.4577,0.0249984,41.5095,0.0234919,105.11399999999999,0.080752,0.4022,5508.8675019150705,4159.823495871713,f160w,20.954631244640233
3164,3165,64.03181629999999,-24.077806600000002,1.89985,0.017831200000000002,9.20322,0.0191779,19.5187,0.0174717,38.829,0.044226999999999995,0.3824,5241.551291333383,4304.363845391905,f160w,21.77387277733257
2159,2160,64.0296609,-24.0858388,1.15693,0.0194217,7.68297,0.0206908,19.5139,0.0187665,49.2766,0.0603072,0.3906,5477.643984176858,3340.489154787773,f160w,21.774139812262817
3540,3541,64.03522339999999,-24.0772409,4.381869999999999,0.0256404,21.6051,0.028741000000000003,50.5114,0.026576599999999995,117.022,0.08306489999999998,0.4025,4868.27347103071,4372.257317131704,f160w,20.741526485477756
6171,6172,64.0408867,-24.060347600000004,3.24752,0.0255086,19.3309,0.029338999999999997,47.1632,0.027792700000000004,114.76299999999999,0.0840392,0.3993,4247.749940744133,6399.449062874133,f160w,20.815991839773883
3532,3533,64.0219787,-24.0778577,2.4326,0.0191868,15.8149,0.0210857,41.1113,0.020427400000000002,110.97399999999999,0.0724252,0.4073,6319.348997278568,4298.153673995788,f160w,20.965096974924588
4948,4949,64.0354147,-24.067877,2.1694299999999997,0.0236051,14.1064,0.024486,36.8306,0.023442400000000002,104.365,0.0551721,0.3994,4847.3280771531045,5495.925584724481,f160w,21.084478015205466
5404,5405,64.0387295,-24.066094399999997,2.46578,0.0198261,14.5532,0.022474,36.0593,0.0212725,93.7664,0.0769831,0.4067,4484.13103346641,5709.837617656278,f160w,21.10745677064858
1917,1918,64.0463576,-24.087453399999998,2.1436900000000003,0.0207538,14.0523,0.0229608,36.1241,0.0216014,97.0169,0.07552389999999999,0.4066,3648.4963702706327,3146.7250810853966,f160w,21.105507410408745
2429,2430,64.02547489999999,-24.085098000000002,2.36515,0.0206248,14.1908,0.022838999999999998,35.3347,0.021864599999999998,89.6694,0.0872805,0.3931,5936.236895098711,3429.3540779604496,f160w,21.129496478992408
4182,4183,64.0209131,-24.073338,3.4150400000000003,0.037790699999999997,16.3393,0.036714699999999996,34.5716,0.033650400000000004,73.09,0.126944,0.3945,6436.157546104964,4840.504689490198,f160w,21.15320130128202
5422,5423,64.0426894,-24.0651275,1.96888,0.026124900000000003,11.6073,0.027768900000000003,28.3986,0.0260748,69.7284,0.0870024,0.3941,4050.243802847401,5825.854423228035,f160w,21.366757673408934
5066,5067,64.03275649999999,-24.068255800000003,1.9021299999999999,0.0279755,11.7432,0.0276067,29.1367,0.025861099999999998,72.5216,0.07676849999999999,0.3975,5138.5791563790435,5450.463369526674,f160w,21.338899094090706
3637,3638,64.03378029999999,-24.0761675,0.752913,0.017321,4.25758,0.015865200000000003,10.3277,0.0144202,24.275,0.048172900000000005,0.399,5026.381896287675,4501.062411288423,f160w,22.464990964963324
5035,5036,64.0375811,-24.0664406,1.42267,0.0146333,8.79257,0.0163863,22.0736,0.015422499999999999,58.4862,0.040510500000000005,0.3986,4609.96031169234,5668.294576780784,f160w,21.640317079121804
4796,4797,64.0334417,-24.0690713,1.4357799999999998,0.0211925,8.973230000000001,0.0206572,22.8833,0.019428900000000002,59.645,0.0599928,0.4075,5063.501150858838,5352.605497417895,f160w,21.601203364421476
4770,4771,64.0387831,-24.070718300000003,2.21402,0.020034599999999996,11.5275,0.0211577,26.0485,0.019287099999999998,57.2469,0.0728484,0.3968,4478.26484567702,5154.96954069758,f160w,21.46054320111067
6679,6680,64.045819,-24.0589681,1.67055,0.034631,9.60374,0.0359272,23.6978,0.033435900000000005,57.7843,0.143104,0.3976,3707.2878520404524,6564.964964904345,f160w,21.563229925292106
4320,4321,64.0222924,-24.0726058,1.53446,0.0275476,9.32434,0.026380200000000003,23.2242,0.024905700000000003,57.743,0.0924612,0.3975,6285.04669501628,4928.385346595936,f160w,21.585148092858887
4416,4417,64.0367948,-24.0722529,1.49489,0.0278765,8.85343,0.0268069,21.9936,0.0243303,54.3697,0.103282,0.394,4696.112813580109,4970.818634376856,f160w,21.644259194427583
5606,5607,64.0461184,-24.063953899999998,1.41172,0.0157672,7.46747,0.017009,18.3496,0.0159461,47.0974,0.0535789,0.3981,3674.519532498326,5966.666853800993,f160w,21.840933496061904
3704,3705,64.0267165,-24.0763878,1.45395,0.0248438,7.9541,0.0233151,19.2815,0.0217505,43.0397,0.0865193,0.396,5800.293226875701,4474.588748260064,f160w,21.787147958191007
4784,4785,64.0331082,-24.0679635,1.08123,0.018211599999999998,6.593719999999999,0.0175505,16.464,0.0165506,42.3485,0.0475594,0.4012,5100.045353107023,5485.540508596993,f160w,21.958661606454108
3264,3265,64.038206,-24.0789749,1.42329,0.035185,7.7656,0.032646100000000004,17.9372,0.0291649,39.4636,0.106545,0.3838,4541.5028011034865,4164.1781740431,f160w,21.865613373610977
2121,2122,64.022215,-24.085265300000003,1.1552200000000001,0.0195004,6.53006,0.0197017,15.7341,0.018469,37.2099,0.0711304,0.3999,6293.366099318706,3409.244402463185,f160w,22.00789523486584
5665,5666,64.0381561,-24.063123100000002,1.19071,0.0245466,6.71369,0.025194499999999998,15.9102,0.0232401,37.518,0.07652410000000001,0.397,4546.955220431255,6066.394236600836,f160w,21.9958109024941
3944,3945,64.0342027,-24.0738387,0.9687709999999999,0.0225629,5.537719999999999,0.020547299999999998,13.5243,0.0187427,32.1589,0.0610071,0.3918,4980.109283571904,4780.519430350563,f160w,22.172213010378744
